	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	V102	V103	V104	V105	V106	V107
						
V59	-0.006***	-0.010**	-0.016***	-0.015**	-0.018***	-0.027***
	(0.002)	(0.005)	(0.005)	(0.006)	(0.006)	(0.007)
V146	-0.002	0.013**	0.008	-0.017**	0.011	-0.030***
	(0.003)	(0.006)	(0.006)	(0.007)	(0.007)	(0.008)
2.V248	0.012	0.021	0.000	-0.001	-0.130***	-0.160***
	(0.016)	(0.034)	(0.038)	(0.042)	(0.044)	(0.046)
3.V248	-0.019	-0.011	-0.084**	-0.012	-0.182***	-0.212***
	(0.015)	(0.032)	(0.036)	(0.040)	(0.042)	(0.044)
4.V248	-0.015	0.006	-0.102***	-0.114***	-0.191***	-0.208***
	(0.017)	(0.035)	(0.039)	(0.043)	(0.046)	(0.048)
2.V240	-0.014	0.035	0.007	0.041	0.024	0.019
	(0.011)	(0.023)	(0.026)	(0.029)	(0.031)	(0.032)
2.V253	-0.081***	-0.165***	-0.195***	0.056	0.028	0.096**
	(0.015)	(0.030)	(0.034)	(0.038)	(0.040)	(0.042)
3.V253	-0.023	0.104***	-0.203***	0.160***	-0.196***	-0.128**
	(0.018)	(0.037)	(0.042)	(0.046)	(0.049)	(0.051)
4.V253	-0.013	0.130***	-0.239***	0.474***	0.139***	0.151***
	(0.017)	(0.035)	(0.039)	(0.043)	(0.046)	(0.048)
5.V253	-0.076***	-0.056	-0.117***	0.135***	-0.035	-0.087*
	(0.018)	(0.037)	(0.041)	(0.046)	(0.049)	(0.050)
Constant	1.180***	1.822***	2.178***	3.013***	2.679***	3.321***
	(0.021)	(0.044)	(0.050)	(0.055)	(0.058)	(0.061)
						
Observations	3,971	3,967	3,933	3,879	3,776	3,597
R-squared	0.015	0.023	0.027	0.037	0.021	0.028
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
